X,lat,long,depth,mags,stations
1,-20.42,181.62,562,4.8,41
2,-20.62,181.03,,4.2,15
3,-26,184.1,42,5.4,43
4,-17.97,181.66,626,4.1,19
5,-20.42,181.96,649,4,
6,-19.68,184.31,195,,12
7,-11.7,166.1,82,4.8,43
8,-28.11,181.93,194,4.4,15
9,-28.74,181.74,211,4.7,
10,-17.47,179.59,622,4.3,19
11,-21.44,180.69,,4.4,13
12,-12.26,167,249,4.6,16
13,-18.54,182.11,554,,19
14,-21,181.66,600,4.4,
15,-20.7,169.92,139,6.1,94
16,-15.94,184.95,306,4.3,11
17,-13.64,165.96,50,6,83
18,-17.83,181.5,590,4.5,
19,-23.5,179.78,,,13
20,-22.63,180.31,598,4.4,18
